"author","authorIsChannelOwner","cid","comment","commentsCount","hasCreatorHeart","pageUrl","publishedTimeText","replyCount","replyToCid","title","type","videoId","voteCount"
"@abdrosyid643","false","UgyLmrEuUMcRTVjAJT94AaABAg.A648R7Hpc8GA648WcUsRxK","Dan menurut q Chanel ini layak Krn penyampaian dan vidio.nya sangat lengkap","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","0","UgyLmrEuUMcRTVjAJT94AaABAg","SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","reply","uXs-5eCfCHI","2"
"@dzakyrahmadnawari2668","false","UgxTuse79UnzGGGWIJN4AaABAg.A6467jROzh4A64AVMYaVz7","dari yang udah udah sih, pabrikan slain china sih psti pelit fitur apalgi suzuki, ertiga aja masih halo ehhh wkwkwk... jadiii ya ngk bsa berharap banyak seperti pabrikan china","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","0","UgxTuse79UnzGGGWIJN4AaABAg","SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","reply","uXs-5eCfCHI","0"
"@haihai1190","false","UgxTuse79UnzGGGWIJN4AaABAg.A6467jROzh4A64IgqeDO9H","Justru yang jualan fitur bakalan kalah, banyak banget mobil listrik China yang elektroniknya bermasalah, nah Suzuki cukup pakai fitur yang penting dan tahan lama, pasti bakalan banyak yang tertarik.

Elektronik banyak = perawatan mahal.","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","0","UgxTuse79UnzGGGWIJN4AaABAg","SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","reply","uXs-5eCfCHI","0"
"@yulusleonard985","false","UgxTuse79UnzGGGWIJN4AaABAg.A6467jROzh4A64MGhCugzY"," @haihai1190  mobil listrik softwarenya harus  bagus","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","0","UgxTuse79UnzGGGWIJN4AaABAg","SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","reply","uXs-5eCfCHI","0"
"@haihai1190","false","UgxTuse79UnzGGGWIJN4AaABAg.A6467jROzh4A64Xgbn8Gmy"," @yulusleonard985  Makanya jangan terlalu banyak fitur kayak masalah mobil China, jadi software error ya fitur gk bekerja, belum lagi kalau sudah ketinggalan jaman pasti jadi masalah lagi.","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","0","UgxTuse79UnzGGGWIJN4AaABAg","SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","reply","uXs-5eCfCHI","0"
"@yulusleonard985","false","UgxTuse79UnzGGGWIJN4AaABAg.A6467jROzh4A64eaA44Ryr"," @haihai1190  Yang serkarang banyak masalah itu mobil eropa, Jerman. Itu BYD barusan update software.","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","0","UgxTuse79UnzGGGWIJN4AaABAg","SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","reply","uXs-5eCfCHI","0"
"@densiswo6857","false","UgzdhoZnKjlMzGofYfV4AaABAg","Bakal beda jauhlah sama hasil yg di pabrikasi nanti","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","0",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","1"
"@e_miilchannel8535","false","Ugzpr9RqqDWqsO2nk7R4AaABAg","depannya gagah, tp pas liat belakangnya keliatan kurang melandai, jadi kaya joko kendil","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","0",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","0"
"@simplyme5123","false","Ugzs8TEeF-pTb-OnxRt4AaABAg","Concept doang kaya Daihatsu 😂😂

Mass production juga bukan Indonesia marketnya.","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","0",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","0"
"@Johan-ut8de","false","UgzCK_wVIuPENzOW2Fd4AaABAg","produsen Jepang kesulitan dalam suplai baterai, beda dengan produsen dari Cina","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","0",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","0"
"@suhaimimoenaf4497","false","UgwkHZC6EKePTO6GLjZ4AaABAg","Suzuki memang mantap praktis dan irit dan cocok disegala medan  dan zaman .. serta tahan tidak ketinggalan mode .... 👍🏼👍🏼👍🏼👍🏼👍🏼","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","0",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","14"
"@HuaweiHuawei-bp9dz","false","UgwmHelxBwX01uogMDB4AaABAg","Fronx masuk indo ga om?","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","1",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","2"
"@MrJun","false","UgxkdgWeWNoFIBiIocJ4AaABAg","dateng2 langsung bad ass,,,, semoa bneran jadiiiii.,......","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","1",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","1"
"@ack_attack","false","UgyLXIcSvRgVX8QbMfV4AaABAg","gimana rasanya belok pakai setir kotak yah? berarti radius putarnya bagus tuh

ada pesan moril di menit 10:18 mantabbbb👍😭","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","1",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","2"
"@haryopanji711","false","Ugx3cC3UZv1R3WMVR1B4AaABAg","Bisa juga nih buat gantinya Suzuki Ignis tahun depan (2025)","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","2",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","1"
"@Goldrig","false","UgxjmoYx4GS5gxvIVaF4AaABAg","Concept itu pak, apalagi buatan prindapan dengan backing jepang, makin meragukan untuk bisa ""bantai mobil china"". Sepertinya jepang makin tiarap lawan china, engineer jepang sampai harus belajar ke china skrng untuk EV.","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago (edited)","25",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","4"
"@andrebudiman4506","false","Ugx54SYN1MWV7-NgBxx4AaABAg","Berat","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","0",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","0"
"@hitacibanteng-mn5eq","false","UgwXXt2n_rOWIf6vKxJ4AaABAg","Masih konsep sep😂😂😂😂","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","0",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","1"
"@1Fisher6Man8","false","UgyVA_WguNB2duuFyv14AaABAg","Suzuki jualan mimpi, masih konsep, ketinggalan jauh dgn yg lain.. 😅","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","2",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","0"
"@ekodanusaputro5868","false","UgxDcJS_LD8jZKL1ICp4AaABAg","Semoga produksi masal nya gak jauh melenceng dari konsep nya","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","2",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","1"
"@Wargaruwetnesia","false","UgzcL--BkSxz-_4g77x4AaABAg","Ditunggu konten kona ev nya min","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","1",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","0"
"@butterflai_","false","UgzkU2L4GrnVpVsUx_Z4AaABAg","Suka bgt.","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","0",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","3"
"@widjonopoultryshop","false","UgzS1WEjrEZYlc6DUuN4AaABAg","Emang wajib di bantai mobil cina 😂","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","0",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","0"
"@goodpeoplethebest","false","UgzGuEQE846G_1RP_k14AaABAg","mirip Creta bnget😂","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","0",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","1"
"@UbudBali-ew5rt","false","UgwK1_ESTKeIvZZIf6B4AaABAg","hadir om botak 😊","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","0",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","3"
"@fajardarmawan7558","false","UgyRYD0Og5aOPcxY_ZB4AaABAg","Keren Suzuki...","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","0",,"SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","comment","uXs-5eCfCHI","6"
"@AriefAsakura","false","UgwmHelxBwX01uogMDB4AaABAg.A643Af21N7VA67Z7Q5b4_s","semoga setelah ngabisin stok ignis tahun ini, fronx bisa masuk 😭","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","9 days ago","0","UgwmHelxBwX01uogMDB4AaABAg","SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","reply","uXs-5eCfCHI","0"
"@lifeisneverthesame910","false","UgxkdgWeWNoFIBiIocJ4AaABAg.A643-c44bk0A6478UwWCcd","di tahun 2030 kayaknya","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","0","UgxkdgWeWNoFIBiIocJ4AaABAg","SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","reply","uXs-5eCfCHI","0"
"@lifeisneverthesame910","false","UgyLXIcSvRgVX8QbMfV4AaABAg.A642Z-kpD1FA647EVIhHz3","bagus kalau steering by wire. 4 roda.","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","0","UgyLXIcSvRgVX8QbMfV4AaABAg","SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","reply","uXs-5eCfCHI","0"
"@agungpurnomo466","false","Ugx3cC3UZv1R3WMVR1B4AaABAg.A642XWNu1ahA645xa03ngg","Harga nya bisa 2-3x ignis","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","0","Ugx3cC3UZv1R3WMVR1B4AaABAg","SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","reply","uXs-5eCfCHI","1"
"@haryopanji711","false","Ugx3cC3UZv1R3WMVR1B4AaABAg.A642XWNu1ahA64OLWT3xnq"," @agungpurnomo466  Hahaha wajarlah di tahun 2025, 'kan jadi EV","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","0","Ugx3cC3UZv1R3WMVR1B4AaABAg","SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","reply","uXs-5eCfCHI","0"
"@gentapenarosa7781","false","UgxjmoYx4GS5gxvIVaF4AaABAg.A642SnGWVDeA643T0RqmBM","Giliran buatan indonesia di india mereka org india juga bilang spt ini """" buatan indonesia itu Pak.. jaaauuhh kualitas nya"""".. sblm ngejek negara org lihat dlu negara kita.. apakah sudah baik??
Kamu tau gak india itu udah bisa bikin rudal nuklir.. teknologi mereka maju.. perluas wawasan sebelum mengejek sesuatu itu","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago (edited)","0","UgxjmoYx4GS5gxvIVaF4AaABAg","SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","reply","uXs-5eCfCHI","6"
"@agungpurnomo466","false","UgxjmoYx4GS5gxvIVaF4AaABAg.A642SnGWVDeA645SdQeokr","​ @gentapenarosa7781 emang begitu ya Pak, tanggapan orang India terhadap produk Indonesia?","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","0","UgxjmoYx4GS5gxvIVaF4AaABAg","SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","reply","uXs-5eCfCHI","0"
"@agungpurnomo466","false","UgxjmoYx4GS5gxvIVaF4AaABAg.A642SnGWVDeA645hBNxrd6","Produk India ga cocok sama Indonesia, hanya masalah desain,karena masalah selera dan peruntukan nya saja.India lebih ke fungsi, Indonesia mikirin gaya juga.
Tapi kalau masalah kualitas,ga ada masalah dengan produk india","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","0","UgxjmoYx4GS5gxvIVaF4AaABAg","SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","reply","uXs-5eCfCHI","2"
"@thunderedt","false","UgxjmoYx4GS5gxvIVaF4AaABAg.A642SnGWVDeA6467l65jcu","Jer produk belum ada udah dibilang jelek","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","0","UgxjmoYx4GS5gxvIVaF4AaABAg","SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","reply","uXs-5eCfCHI","0"
"@carmudiID","true","UgxjmoYx4GS5gxvIVaF4AaABAg.A642SnGWVDeA6481tsothD"," @thunderedt begitulah, sudah biasa.. itu juga seringnya ikut2an aja, begitu tau india langsung “jelek jelek” padahal belom liat 😅","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","0","UgxjmoYx4GS5gxvIVaF4AaABAg","SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","reply","uXs-5eCfCHI","3"
"@syrazganteng716","false","UgxjmoYx4GS5gxvIVaF4AaABAg.A642SnGWVDeA64Q5KyJNUp","Bisanya ya cuma ngejek sih","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","0","UgxjmoYx4GS5gxvIVaF4AaABAg","SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","reply","uXs-5eCfCHI","0"
"@tartibroucke6110","false","UgxjmoYx4GS5gxvIVaF4AaABAg.A642SnGWVDeA64WsJBubB5","Seolah olah loe yg paling hebat , 😂😂😂modal omdo doank, India dah bisa buat mobil sendiri ,lah elu?😂😂😂","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago","0","UgxjmoYx4GS5gxvIVaF4AaABAg","SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","reply","uXs-5eCfCHI","0"
"@UwaisProRealty","false","UgxjmoYx4GS5gxvIVaF4AaABAg.A642SnGWVDeA64afAIWNVT","Opini lu cm berasumsi dg kata-kata ""sepertinya"",,😮😅
Jepang bukan ga bisa bikin EV atau ketinggalan dr China,, jauh sebelum pabrikan China bikin EV mereka sudah punya banyak mobil EV.. 
Pabrikan² otomotir Jepang melihat pasar EV untuk BEV blm begitu besar persentase nya dari keseluruhan penjualan mobil Dunia, di Indonesia pabrikan Jepang seperti Toyota, lebih banyak merilis Produk Hybrid EV.. jadi liat sikon pasar..","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago (edited)","0","UgxjmoYx4GS5gxvIVaF4AaABAg","SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","reply","uXs-5eCfCHI","0"
"@Goldrig","false","UgxjmoYx4GS5gxvIVaF4AaABAg.A642SnGWVDeA64g-SDDlbl","Maaf sebelumnya, saya owner 2 ev, korea ioniq 5 dan china brand, owner 2 ice zenyx q dan hrv. Sempat stay beberapa minggu di china karena urusan kerja, mata saya terbuka, betapa sudah sangat jauh tertinggal mobil buatan jepang. Jepang negara keparat yg nipu kita berpuluh2 tahun dengan mobil murahan keparat yg overprice.

In my opinion, japanese brand is the worst overpriced car, bahkan zenyx yg saya pakai ga cocok antara harga dan kualitasnya...","208","false","https://www.youtube.com/watch?v=uXs-5eCfCHI&t=57s","10 days ago (edited)","0","UgxjmoYx4GS5gxvIVaF4AaABAg","SUZUKI SIAP BANTAI MOBIL CINA, Siapkan Mobil Listrik Terjangkau!","reply","uXs-5eCfCHI","1"
